transaction_id,customer_email,amount,date,product_category
563302,kacperkaczmarek827@mail.com,493.38,Oct 11 2023,electronics
652732,kacperkaczmarek827@mail.com,349.03,2023.03.15,home
255869,mateusz.woźniak661@example.com,281.86,2024-04-15,electronics
463480,ola.wojciechowski235@example.com,80.85,16/01/2025,beauty
955554,pawełwoźniak560@mail.com,359.72,Sep 06 2023,sports
717017,paweł.wróbel694@example.com,215.35,Jun 30 2025,beauty
447829,monikadąbrowska537@mail.com,706.55,2023.05.11,beauty
613275,piotr.szymański286@example.com,133.12,Feb 24 2025,home
120115,paweł.woźniak855@example.com,444.44,07/06/2024,sports
549534,bartekwojciechowski986@mail.com,411.29,2025-02-18,electronics
164253,monikakowalska453@mail.com,690.42,Jun 08 2024,sports
701483,pawełwoźniak561@mail.com,514.08,Aug 21 2024,fashion
151902,adam.zielińska900@example.com,258.27,Mar 10 2024,sports
740661,kacpernowak586@mail.com,47.53,2025-09-25,beauty
698125,ola.wojciechowski235@example.com,731.09,Dec 30 2024,beauty
233307,agnieszkakamiński771@mail.com,34.66,Aug 15 2025,fashion
766585,zofia.kamiński870@example.com,131.65,2024.05.07,electronics
113221,tomaszzielińska386@mail.com,360.35,2024.09.15,beauty
823417,annadąbrowska480@mail.com,756.72,May 29 2024,home
268934,karolinawiśniewska962@mail.com,726.57,2023-05-24,sports
519526,maria.wojciechowski363@example.com,182.43,Jul 03 2023,beauty
275042,pawełwoźniak560@mail.com,198.56,2025-04-03,home
322848,michał.zielińska76@example.com,486.29,2025.05.09,beauty
219231,marekkamiński347@mail.com,639.56,20/09/2024,fashion
612740,pawełwoźniak560@mail.com,625.98,Feb 07 2024,sports
309194,magdalenalewandowski359@mail.com,126.02,30/06/2024,home
143896,adam.zielińska900@example.com,63.8,2024.07.28,sports
564713,ola.piotrowska54@example.com,580.44,May 28 2023,home
716922,marek.piotrowski693@example.com,473.27,03/05/2024,beauty
959464,adam.lewandowski897@example.com,682.46,22/01/2025,beauty
612959,jakub.woźniak294@example.com,265.3,Nov 24 2024,home
887813,karolina.woźniak184@example.com,452.94,2025.07.27,fashion
808675,tomaszwróbel460@mail.com,170.25,Aug 22 2024,fashion
430216,karolinazieliński978@mail.com,223.03,20/05/2024,beauty
595830,marekkamiński347@mail.com,767.98,2023.11.24,home
595011,olawróbel184@mail.com,420.67,18/12/2024,sports
471110,julia.zieliński845@example.com,361.78,26/04/2025,sports
318579,kacperkamiński316@mail.com,541.04,19/05/2025,fashion
567321,anna.zielińska996@example.com,598.7,2023-12-17,beauty
360103,agnieszkamazur784@mail.com,725.07,Feb 08 2024,fashion
293762,bartekkowalski302@mail.com,139.01,2024-07-23,electronics
813354,ola.wojciechowski235@example.com,234.35,27/09/2025,beauty
836587,ola.kowalska590@example.com,143.92,23/09/2024,electronics
431113,piotr.woźniak570@example.com,704.9,2024-11-05,home
691989,mateuszwoźniak449@mail.com,328.74,Feb 12 2025,fashion
628704,anna.zielińska996@example.com,745.75,2024-02-29,home
142146,zofia.kamiński870@example.com,451.46,Oct 09 2025,sports
816816,ola.kowalska590@example.com,70.3,2024-12-15,beauty
977649,mateusz.kaczmarek949@example.com,632.18,2024.10.02,beauty
530276,pawełwoźniak560@mail.com,567.37,2024-01-27,electronics
609168,bartek.kowalska6@example.com,271.01,03/01/2024,electronics
392785,adam.kamiński845@example.com,535.41,2024.11.23,home
108707,karolina.mazur761@example.com,279.07,Mar 12 2024,electronics
219502,karolinazieliński978@mail.com,646.46,May 24 2023,fashion
151903,katarzynakowalski484@mail.com,751.75,06/08/2024,electronics
305862,tomaszwróbel460@mail.com,167.33,2024.08.26,sports
289928,adam.kamiński845@example.com,732.78,Aug 14 2024,fashion
337566,pawełwoźniak561@mail.com,355.13,Jun 23 2023,sports
128423,bartek.kowalska6@example.com,267.71,19/10/2024,fashion
994067,katarzynakowalski484@mail.com,37.88,2024.06.10,fashion
105654,mareknowak642@mail.com,503.33,Nov 02 2023,electronics
869920,monikakamiński141@mail.com,447.72,Sep 28 2023,fashion
606456,karolina.woźniak184@example.com,226.01,2023.12.20,sports
247229,kacperwróbel553@mail.com,102.02,2023.09.17,sports
263257,jakub.woźniak294@example.com,374.33,2024.09.22,home
306326,agnieszkawoźniak642@mail.com,275.22,12/02/2025,beauty
932208,adam.kamiński845@example.com,74.83,2024.09.19,sports
131984,ola.kowalska590@example.com,661.21,2024.07.02,beauty
654479,pawełwoźniak560@mail.com,348.0,2024.04.18,electronics
600123,marek.piotrowski693@example.com,486.55,2025.04.03,electronics
360448,pawełwoźniak561@mail.com,711.54,2024.08.09,beauty
834333,michał.nowak67@example.com,505.35,2024-04-30,beauty
382474,marek.kowalska679@example.com,284.29,Oct 05 2025,fashion
